Terms,co-occurrence_counts
atlanta - inspir,1
atlanta - organ,2
atlanta - work,1
atlanta - across,1
atlanta - hope,2
atlanta - read,1
atlanta - full,1
", - inspir",3
", - across",17
", - hope",21
", - read",9
", - full",8
", - list",16
hope - organ,3
hope - work,1
hope - across,1
hope - atlanta,2
"hope - ,",21
hope - ’,10
hope - read,3
hope - full,1
hope - list,1
hope - .,15
’ - work,35
’ - across,2
’ - hope,10
’ - read,7
’ - full,4
’ - list,11
read - across,1
read - atlanta,1
"read - ,",9
read - hope,3
read - ’,7
read - full,1
read - list,1
read - .,13
read - mani,2
read - citizen,1
full - atlanta,1
"full - ,",8
full - hope,1
full - ’,4
full - read,1
full - list,1
full - .,11
full - mani,1
full - citizen,1
full - eater,1
"list - ,",16
list - hope,1
list - ’,11
list - read,1
list - full,1
list - .,12
list - mani,2
list - citizen,1
list - eater,1
. - hope,15
. - read,13
. - full,11
. - list,12
. - step,8
mani - read,2
mani - full,1
mani - list,2
mani - citizen,1
mani - eater,1
mani - step,2
mani - changemak,1
citizen - read,1
citizen - full,1
citizen - list,1
citizen - mani,1
citizen - step,1
citizen - changemak,1
citizen - !,1
eater - full,1
eater - list,1
eater - mani,1
eater - step,1
eater - changemak,1
eater - !,2
eater - acr,1
", - step",11
", - changemak",2
", - acr",5
", - ancestri",2
step - .,8
step - mani,2
step - citizen,1
step - eater,1
"step - ,",11
step - changemak,1
step - !,3
step - acr,2
step - ancestri,1
step - initi,1
changemak - mani,1
changemak - citizen,1
changemak - eater,1
"changemak - ,",2
changemak - step,1
changemak - !,2
changemak - acr,1
changemak - ancestri,1
changemak - initi,1
changemak - black,1
! - citizen,1
! - eater,2
! - step,3
! - changemak,2
! - acr,2
! - ancestri,1
! - initi,1
! - black,1
! - agrarian,1
acr - eater,1
"acr - ,",5
acr - step,2
acr - changemak,1
acr - !,2
acr - ancestri,2
acr - initi,1
acr - black,1
acr - agrarian,2
acr - fund,2
"ancestri - ,",2
ancestri - step,1
ancestri - changemak,1
ancestri - !,1
ancestri - acr,2
ancestri - initi,1
ancestri - black,1
ancestri - agrarian,2
ancestri - fund,2
ancestri - work,1
initi - step,1
initi - changemak,1
initi - !,1
initi - acr,1
initi - ancestri,1
initi - black,1
initi - agrarian,1
initi - fund,3
initi - work,1
initi - restor,1
black - changemak,1
black - !,1
black - acr,1
black - ancestri,1
black - initi,1
black - agrarian,1
black - fund,1
black - work,1
black - restor,1
black - land,2
agrarian - !,1
agrarian - acr,2
agrarian - ancestri,2
agrarian - initi,1
agrarian - black,1
agrarian - fund,2
agrarian - work,1
agrarian - restor,1
agrarian - land,1
agrarian - ownership,1
fund - acr,2
fund - ancestri,2
fund - initi,3
